Date,ABBV,MET,OXY,PERI,SPY,,,,
2020-04-09,64.61663818,29.90537453,14.68693256,5.079999924,259.4427185,,,,
2020-04-13,65.06227112,28.94395828,14.65824509,5.139999866,257.0738831,,,,
2020-04-14,67.53746033,29.03672028,14.24709034,5.099999905,264.6557922,,,,
2020-04-15,67.282547,27.38374519,13.01361465,4.929999828,259.0323486,,,,
2020-04-16,67.31542969,26.10184288,11.66540051,4.789999962,260.2819824,,,,
2020-04-17,68.62294769,27.88133049,13.03274155,4.760000229,267.3136902,,,,
2020-04-20,69.06698608,27.45121193,12.03831291,4.849999905,262.6040955,,,,
2020-04-21,66.08195496,26.53195572,11.79926682,4.760000229,254.6306458,,,,
2020-04-22,66.99473572,26.7849617,12.44946861,4.809999943,260.2819824,,,,
2020-04-23,67.4634552,26.9030304,13.26222229,4.800000191,260.2633057,,,,
2020-04-24,68.73805237,28.08372688,13.20485115,4.71999979,263.8910522,,,,
2020-04-27,69.6426239,29.02829361,13.52995205,4.690000057,267.6960144,,,,
2020-04-28,68.05553436,29.66923141,14.50525761,4.659999847,266.4649658,,,,
2020-04-29,68.87785339,31.60896111,16.04470444,4.949999809,273.4406433,,,,
2020-04-30,67.59502411,30.42825699,15.87259674,4.989999771,270.8948059,,,,
2020-05-01,68.12132263,29.24755669,14.57218838,4.460000038,263.723175,,,,
2020-05-04,67.31542969,28.82587624,14.83992004,4.730000019,264.4506836,,,,
2020-05-05,70.20179749,28.90178299,14.64868546,4.690000057,266.8939819,,,,
2020-05-06,70.24291992,27.80541992,12.81281757,4.539999962,265.0847778,,,,
2020-05-07,69.25611877,29.45613289,13.27178288,4.769999981,268.2834778,,,,
2020-05-08,69.04232025,30.12325287,14.36183071,4.920000076,272.7225952,,,,
2020-05-11,72.2822876,29.05413628,14.37139034,4.829999924,272.7785339,,,,
2020-05-12,74.38742828,27.68568039,13.94111061,4.769999981,267.3416138,,,,
2020-05-13,73.07993317,26.31721687,12.85106468,4.510000229,262.6134033,,,,
2020-05-14,73.95980835,27.22382927,13.1570406,4.400000095,265.7562866,,,,
2020-05-15,74.59300232,27.12974739,13.2144146,4.440000057,266.9779053,,,,
2020-05-18,75.21797943,28.5837307,14.40963936,4.78000021,275.1099548,,,,
2020-05-19,74.99593353,27.70278168,13.74031353,4.909999847,272.2842407,,,,
2020-05-20,74.98771667,28.36135864,14.33314514,4.989999771,276.9098511,,,,
2020-05-21,76.49256897,28.64360809,13.62557125,5.360000134,274.9980469,,,,
2020-05-22,75.73603058,28.51531029,13.51083088,5.260000229,275.5203857,,,,
2020-05-26,74.59300232,30.87590599,13.7689991,6.139999866,278.9148865,,,,
2020-05-27,73.99269867,31.58579826,13.78812313,5.730000019,283.0648804,,,,
2020-05-28,74.03381348,31.18380356,13.04230022,5.489999771,282.5426941,,,,
2020-05-29,76.20475769,30.79892349,12.3825388,5.510000229,283.8016357,,,,
2020-06-01,74.58478546,31.1068325,13.20485115,5.610000134,284.9486389,,,,
2020-06-02,74.86437988,31.1239357,14.10366154,5.510000229,287.308075,,,,
2020-06-03,74.7410202,32.39832306,14.77298737,5.630000114,291.1317139,,,,
2020-06-04,76.50901794,33.64703369,14.86860657,5.550000191,290.3669434,,,,
2020-06-05,77.17508698,34.84444046,19.87899399,5.78000021,297.8088684,,,,
2020-06-08,77.78361511,36.77739716,23.33080101,6.199999809,301.4086304,,,,
2020-06-09,79.08289337,35.53722,22.16426468,5.989999771,299.1611023,,,,
2020-06-10,79.68318176,33.78388596,19.85030556,5.789999962,297.4917908,,,,
2020-06-11,75.86760712,30.7305069,16.64710426,5.110000134,280.3416748,,,,
2020-06-12,76.03207397,32.03053665,17.69950294,5.300000191,283.6990051,,,,
2020-06-15,76.54190826,32.56082535,18.22570801,5.420000076,286.3474731,,,,
2020-06-16,78.99242401,33.0911026,19.41204834,5.590000153,291.8590698,,,,
2020-06-17,78.72930145,32.34700394,18.21614075,5.369999886,290.646759,,,,
2020-06-18,79.13223267,32.59503174,18.81888199,5.690000057,290.7585449,,,,
2020-06-19,79.52696228,31.91935539,18.8571434,5.610000134,289.0969543,,,,
2020-06-22,79.98745728,31.58579826,19.04849243,5.550000191,290.9515381,,,,
2020-06-23,80.02032471,31.67988396,18.9336853,5.699999809,292.2909546,,,,
2020-06-24,78.23590851,30.38839149,17.22113991,5.539999962,284.8350525,,,,
2020-06-25,79.75720215,31.08117676,17.73777199,5.380000114,287.8886414,,,,
2020-06-26,79.05001068,29.99495697,16.92455101,5.369999886,281.0509033,,,,
2020-06-29,79.30491638,30.42260551,17.08719635,5.25,285.1815491,,,,
2020-06-30,80.73576355,31.23512459,17.50815392,5.230000019,288.8346558,,,,
2020-07-01,81.52519226,30.3712883,16.65667152,5.119999886,290.8578186,,,,
2020-07-02,81.31138611,30.49102783,17.01066017,5.059999943,292.4596252,,,,
2020-07-06,81.41828918,31.7226429,17.3933506,5.360000134,296.9744568,,,,
2020-07-07,81.69789124,30.80748177,16.40791893,5.300000191,293.9114685,,,,
2020-07-08,81.64031982,31.44894981,16.53229713,5.320000172,296.1594849,,,,
2020-07-09,80.538414,30.26864433,15.57556343,5.360000134,294.4734192,,,,
2020-07-10,79.62561798,31.594347,15.98696136,5.320000172,297.4802551,,,,
2020-07-13,80.4726181,31.99633598,15.46075821,5.309999943,294.9043579,,,,
2020-07-14,82.29548645,32.40687561,15.95825481,5.840000153,298.7260132,,,,
2020-07-15,83.63559723,33.04833984,16.43662453,5.519999981,301.4705505,,,,
2020-07-16,83.16946411,33.12531662,16.27397537,5.659999847,300.4776306,,,,
2020-07-17,83.9269104,32.90294266,15.57556343,5.639999866,301.3487244,,,,
2020-07-20,82.85317993,32.31279373,15.01109314,5.639999866,303.7840881,,,,
2020-07-21,81.0719223,32.77464676,16.65667152,5.670000076,304.4304199,,,,
2020-07-22,81.3216095,32.86016846,16.21657562,6.360000134,306.1631775,,,,
2020-07-23,81.59630585,32.97992325,16.09219742,6.119999886,302.5101929,,,,
2020-07-24,80.83052063,32.68912125,16.01565933,6.170000076,300.5619202,,,,
2020-07-27,80.87214661,32.32989883,15.9773941,6.130000114,302.7537231,,,,
2020-07-28,80.49760437,32.15028381,15.64253712,6.349999905,300.8335266,,,,
2020-07-29,80.74729919,33.08255386,16.29311562,6.079999924,304.5334778,,,,
2020-07-30,79.93991089,32.11607361,15.08763218,5.920000076,303.4468384,,,,
2020-07-31,78.9993515,32.37265015,15.05893135,5.949999809,305.8447571,,,,
2020-08-03,79.85668182,32.29473114,14.59013176,6.25,307.9710083,,,,
2020-08-04,78.48327637,31.94841194,15.05893135,6.230000019,309.160614,,,,
2020-08-05,77.61762238,33.14322662,15.2502737,6.28000021,311.0808411,,,,
2020-08-06,77.05161285,32.01767349,14.78147793,6.199999809,313.1602478,,,,
2020-08-07,77.34294891,33.52419662,14.78147793,6.099999905,313.3850403,,,,
2020-08-10,76.89344788,34.44194794,15.7669096,5.96999979,314.3217163,,,,
2020-08-11,77.13484192,35.12593079,14.50402355,5.710000038,311.7271423,,,,
2020-08-12,79.49875641,34.66706467,14.27441216,5.619999886,316.0733032,,,,
2020-08-13,78.8079071,34.14757156,13.96826077,5.909999847,315.5019531,,,,
2020-08-14,79.13250732,34.29475784,14.00652981,6.010000229,315.511322,,,,
2020-08-17,80.19793701,33.66272354,13.30811501,5.940000057,316.5135498,,,,
2020-08-18,79.61529541,33.16921234,13.34638309,6.150000095,317.1973572,,,,
2020-08-19,79.98984528,33.07396698,13.22200966,6.099999905,315.8766174,,,,
2020-08-20,79.24069977,32.57180023,12.82018185,5.949999809,316.8601379,,,,
2020-08-21,78.95772552,32.27742386,12.59056664,5.960000038,317.9841614,,,,
2020-08-24,78.66640472,33.43759918,13.03066444,6.090000153,321.2063293,,,,
2020-08-25,78.2918396,33.47223282,12.92542267,6.170000076,322.3304138,,,,
2020-08-26,78.53323364,33.17786407,12.39922142,6.110000134,325.5619507,,,,
2020-08-27,78.4916153,33.82720947,12.47576046,6.03000021,326.2737427,,,,
2020-08-28,78.38339996,34.13025665,12.56186771,6.110000134,328.3813171,,,,
2020-08-31,79.71517944,33.2990799,12.18874073,6.079999924,327.1917114,,,,
2020-09-01,76.77692413,33.3337059,11.93998814,6.090000153,330.2734375,,,,
2020-09-02,78.20027924,33.61076355,11.863451,6.130000114,335.050415,,,,
2020-09-03,76.46896362,33.07396698,12.04523182,5.989999771,323.5198669,,,,
2020-09-04,76.46896362,33.89648819,11.71994209,5.989999771,320.8784485,,,,
2020-09-08,75.0955658,32.79691315,10.58143425,6.019999981,312.1111755,,,,
2020-09-09,76.26920319,33.14322662,10.5909996,6.090000153,318.2745056,,,,
