Date / Ticker,AAPL.MX,LLY.MX,MSFT.MX
23/03/2021,2541.81,3845.56,4936.42
24/03/2021,2520.02,3751.77,4931.17
25/03/2021,2490.29,3751.77,4813.86
26/03/2021,2478.29,3751.77,4845.21
29/03/2021,2502.34,3861.53,4841.10
30/03/2021,2463.07,3830.59,4755.94
31/03/2021,2501.42,3819.93,4824.67
05/04/2021,2554.49,3751.77,5042.95
06/04/2021,2545.06,3706.87,4990.77
07/04/2021,2578.55,3677.93,5037.24
08/04/2021,2613.23,3677.93,5075.99
09/04/2021,2673.59,3691.90,5125.72
12/04/2021,2641.20,3671.94,5153.87
13/04/2021,2700.88,3651.99,5180.20
14/04/2021,2646.20,3669.95,5121.89
15/04/2021,2676.10,3711.85,5176.46
16/04/2021,2666.78,3711.85,5185.29
19/04/2021,2663.81,3753.45,5114.01
20/04/2021,2653.28,3753.45,5145.72
21/04/2021,2655.52,3787.49,5179.20
22/04/2021,2631.31,3787.49,5112.12
23/04/2021,2668.72,3722.83,5175.74
26/04/2021,2674.05,3721.15,5181.80
27/04/2021,2694.43,3661.96,5257.25
28/04/2021,2662.30,3584.85,5060.54
29/04/2021,2670.15,3635.02,5059.62
30/04/2021,2659.64,3696.89,5079.39
03/05/2021,2669.01,3748.77,5067.06
04/05/2021,2576.91,3791.68,4994.52
05/05/2021,2601.48,3911.42,5003.47
06/05/2021,2597.40,3886.47,4995.23
07/05/2021,2591.17,3897.67,5021.09
10/05/2021,2532.22,3897.67,4931.33
11/05/2021,2511.88,3897.67,4910.28
12/05/2021,2466.33,3874.41,4813.33
13/05/2021,2501.77,3830.02,4866.36
14/05/2021,2536.45,3901.40,4930.49
17/05/2021,2483.17,3837.88,4834.78
18/05/2021,2476.36,3837.88,4836.13
19/05/2021,2479.99,3912.27,4821.97
20/05/2021,2528.58,3952.19,4900.08
21/05/2021,2503.57,3992.12,4887.76
24/05/2021,2525.48,4018.06,4967.96
25/05/2021,2523.93,3966.03,4995.37
26/05/2021,2516.26,4012.08,4976.74
27/05/2021,2508.56,3932.23,4996.69
28/05/2021,2486.50,3975.15,4981.04
31/05/2021,2497.33,3975.15,4877.35
01/06/2021,2481.69,3967.16,4935.54
02/06/2021,2483.69,3946.51,4904.74
03/06/2021,2485.93,4042.02,4933.53
04/06/2021,2503.86,3996.11,4996.42
07/06/2021,2494.43,4361.39,5010.61
08/06/2021,2498.08,4319.47,4974.96
09/06/2021,2504.05,4425.26,5000.20
10/06/2021,2483.85,4603.91,5050.64
11/06/2021,2525.83,4440.23,5103.83
14/06/2021,2592.02,4469.17,5161.00
15/06/2021,2597.75,4469.17,5170.53
16/06/2021,2638.47,4469.17,5217.97
17/06/2021,2698.20,4511.76,5336.59
18/06/2021,2695.65,4511.09,5365.25
21/06/2021,2703.87,4550.68,5364.71
22/06/2021,2723.44,4498.15,5394.98
